,smiles,MolWt
62,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]3[C@@]4(C[C@H]([C@@H]([C@@]3(C)CO)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,488.7
63,COC(=O)c1cc(OC)c(O)cc1,182.17
64,CC1=CC2=C(C=C1)N=C(NC(=O)CSC1=NC3=C(SCC3)C(=O)N1C1=CC=CC=C1)S2,466.6
65,N#CC(c1nc2ccccc2s1)c1ccnc(OCc2ccc(CN3CCOCC3)cc2)n1,457.55
66,Cc1c(ccc(c1)NC(=O)c1cc(ccc1)NC(=O)/C=C/CN(C)C)Nc1nccc(n1)c1cnccc1,507.59
67,Cc1cccc(CC(=O)N2CCc3c2ccc(-c2cn(C)c4ncnc(N)c24)c3F)n1,416.45
68,O=C(Nc1cccc2cccnc12)c1ccc(cc1)N1C(=O)[C@H]2[C@@H]3C[C@@H](C=C3)[C@H]2C1=O,409.44
69,Cn1cc(c2c1ncnc2N)c1cc2c(cc1)N(CC2)C(=O)Cc1cc(ccc1)C(F)(F)F,451.44
70,c1cc(c(c(c1)F)N(c1nc(c(cc1)C(=O)N)c1c(cc(cc1)F)F)C(=O)N)F,404.3
71,Clc1ccc(NC(=S)NC(NC(=O)\C=C\c2ccccc2)C(Cl)(Cl)Cl)cc1,463.21
72,CN(C)Cc1cccc(N\C(c2ccccc2)=C2/C(=O)Nc3cc(ccc23)C(=O)N(C)C)c1,440.54
73,Cc1c(ccc(c1)[N+](=O)[O-])NS(=O)(=O)c1c(ccc(c1)Cl)Cl,361.2
74,Fc1ccc(cc1)c1c(n2CCSc2n1)c1ccncc1,297.35
75,O=C1N=C(NCc2cccs2)S\C1=C/c1ccc2ncccc2c1,351.45
76,Oc1ccc(cc1)-c1nc(c([nH]1)-c1ccncc1)-c1ccc(F)cc1,331.34
77,c1cnc2c(c1)cc(cc2)Sc1n2c(nn1)ccc(n2)c1cnn(c1)C,359.41
78,C1[C@@H]2C=C[C@H]1[C@H]3[C@@H]2C(=O)N(C3=O)C4=CC=C(C=C4)C(=O)NC5=CC=CC6=C5N=CC=C6,409.44
79,Fc1c(c(c2ncc(cc2)C(=O)NCC(C)(C)C)cc(c1)C(=O)NC1CC1)C,383.46
80,Oc1ccc(C[C@@H]2N3[C@H](CN(Cc4cccc5ccccc45)C2=O)N(CCC3=O)C(=O)NCc2ccccc2)cc1,548.63
81,C1CCc2c(C1)c(c(s2)NC(=O)c1cccc2ccccc12)C#N,332.42
82,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,354.45
83,COc1c(OC)cc(CCC(=O)Nc2nc3c(s2)cc(Cl)cc3)cc1,376.86
84,Clc1ccc(OCC(=O)N[C@H]2CC[C@@H](CC2)NC(=O)COc2ccc(Cl)cc2)cc1,451.34
85,O=C(NC1CC1)c1noc(c1)c1cccs1,234.27
86,CNC(=O)c1cc(n2c(C)cc(OCc3c(F)cc(F)cc3)c(Br)c2=O)c(C)cc1,477.3
87,NCC1CCN(CC1)c1nccc(n1)c1cc2ccccc2cc1,318.42
88,Nc1c2cc(nnc2n[nH]1)c1c2ccccn2nc1c1ccccc1,327.34
89,CC(C)Oc1ccc(cc1)c1cn2ncc(c2nc1)c1ccnc2ccccc12,380.44
90,O=C(Nc1nc2c(s1)cc(NC(=O)C13CC4CC(CC(C4)C1)C3)cc2)c1ccccc1,431.55
91,COC(=O)C1=CC[C@]23CC[C@H]([C@]2(CC1)OC(C)=O)[C@](C)(OC3=O)\C=C\C=C(/C)C(O)=O,432.18
92,COc1cc(cc(OC)c1OC)c1c(N)ncc(c1)c1cc(O)ccc1,352.38
93,FC(F)(F)c1ccc(cc1)-c1nc2CCSCc2c(=O)[nH]1,312.31
94,CCOc1cc(ccc1Nc1ncc2N(C)C(=O)c3ccccc3N(C3CCCC3)c2n1)C(=O)N1CCC(CC1)N1CCN(C)CC1,638.81
95,COc1ccc(cc1)C1(CCOCC1)CNC(=O)c1ccc(cc1)NC(=O)c1ccco1,434.48
96,CS(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccncc1)-c1ccc(F)cc1,377.43
97,OC(=O)c1ccc(cc1)N1C(=O)C(=C/c2ccc(o2)-c2ccc(cc2)[N+]([O-])=O)\C=C1c1ccccc1,478.45
98,Cn1ncnc2c1nc(=O)n(C)c2=O,193.16
99,CN1C=C(C=N1)C1=CC=C(C=C1)C1=CN=CC(Cl)=C1N1CCC2(CCNC2=O)CC1,421.92
