,smiles,homo,lumo
293,C(/N1CCCC1)(C2=CC=CC=C2)=C\C3=CC=CC=C3,-0.22436,0.00296
294,N#CC(C=C1)=CC=C1/C=C(C2=CC=CC=C2)/N3CCCC3,-0.23752,-0.0218
295,O=[N+](C(C=C1)=CC=C1/C=C(C2=CC=CC=C2)/N3CCCC3)[O-],-0.24068,-0.03824
296,C(/N1CCCCC1)(C2=CC=CC=C2)=C\C3=CC=CC=C3,-0.23097,0
297,C(/N1CCOCC1)(C2=CC=CC=C2)=C\C3=CC=CC=C3,-0.23519,-0.0051
298,N1(CCCCC1)/C=C/C2=CC=CC=C2,-0.23143,0.01625
299,N1(CCOCC1)/C=C/C2=CC=CC=C2,-0.23753,0.01231
300,C=C(C1=CC=CC=C1)N2CCCCC2,-0.24685,0.01293
301,C/C(C)=C/C,-0.28394,0.06965
302,C=C(C)C,-0.2999,0.06266
303,Cl[O-],0.00423,0.34364
304,Br[O-],-0.01186,0.28915
305,[O-]Br=O,-0.02392,0.28175
306,[O-]OS(=O)([O-])=O,0.14906,0.54854
307,C=CC1=CC=C(C)C=C1,-0.27073,-0.00225
308,C=C(C)C=C,-0.28498,0.00999
309,[H]C(C1=CC=C([N+]([O-])=O)C=C1)=[N+]=[N-],-0.27399,-0.05269
310,[H]C(C1=CC=C(C#N)C=C1)=[N+]=[N-],-0.26792,-0.03376
311,[H]C(C1=CC=C(Br)C=C1)=[N+]=[N-],-0.25286,-0.01372
312,[O-]OC(CC[NH+]1CCCCC1)=O,-0.25992,0.051
313,[O-]OC(CC[NH3+])=O,-0.15349,-0.04007
314,[O-]OC(CCC[NH3+])=O,-0.13235,-0.04998
315,C[Si](OC1=CCCC1)(C)C,-0.2636,0.07587
316,C=CC[Si](C)(Cl)C,-0.29903,0.04984
317,O=C([CH-]/N=C(C1=CC=CC=C1)/C2=CC=CC=C2)OCC,-0.05665,0.12808
318,O=C([CH-]/N=C(C1=CC=CC=C1)/C2=CC=CC=C2)OC(C)(C)C,-0.05862,0.12603
319,[H]/C(C1=CC=CC=C1)=N\[CH-]C(OCC)=O,-0.04763,0.14067
320,[H]/C(C1=CC=C(Cl)C=C1)=N\[CH-]C(OCC)=O,-0.05475,0.13016
321,C1=CC=CC(=C1)C([H])=N[C-](C)C(OCC)=O,-0.05203,0.13435
322,N#C[CH-]/N=C(C1=CC=CC=C1)/C2=CC=CC=C2,-0.0574,0.12663
323,C[Si](C)(C)OC(=Cc1ccccc1)c2ccccc2,-0.25213,-0.01619
324,C/C=C(O[Si](C)(C)C)/C1=CC=CC=C1,-0.26328,0.00641
325,C[Si](OC1=CCC2=CC=CC=C21)(C)C,-0.25658,0.01462
326,C[Si](OC1=CCCC2=CC=CC=C21)(C)C,-0.25419,0.00737
327,C/C(C)=C/C[Si](C)(C)C,-0.26907,0.0614
328,C12=CC=CC=C1C(N3CCCC3)=CC2,-0.2302,0.01872
